"","item_id","cId","sgId"
"214",344443,2,1
"215",370555,18,1
"216",381260,182,1
"217",356818,182,1
"218",372615,184,1
"219",166236,184,1
"220",221617,110,1
"221",187873,110,1
"222",367969,110,1
"223",347817,110,1
"224",234762,110,1
"225",368949,89,1
"226",360326,89,1
"227",368875,110,1
"228",348780,90,1
"229",188017,109,1
"230",100079,114,1
"231",373278,90,1
"232",362593,184,1
"233",371244,134,1
"234",373262,184,1
"235",377087,184,1
"236",247494,89,1
"237",350255,18,1
"238",365307,18,1
"239",361811,89,1
"240",367097,18,1
"241",370767,1,1
"242",371780,1,1
"243",370576,89,1
"244",356724,89,1
"245",374954,89,1
"246",4867,89,1
"247",366166,184,1
"248",363456,184,1
"249",369740,184,1
"250",371773,1,1
"251",371562,184,1
"252",372543,184,1
"253",245313,184,1
"254",367515,184,1
"255",367384,184,1
"256",361811,184,1
"257",12035,184,1
"258",356458,157,1
"259",371775,1,1
"260",356457,157,1
"261",253421,115,77
"262",376370,109,1
"263",345818,101,1
"264",349523,157,1
"265",369289,90,1
"266",381457,109,1
"267",355599,89,1
"268",362591,157,1
"269",99729,69,1
"270",369081,48,1
"271",370153,48,1
"272",349438,157,1
"273",371244,48,1
"274",366886,48,1
"275",366471,48,1
"276",356667,89,1
"277",254188,157,1
"278",366113,90,1
"279",359336,157,1
"280",368678,157,1
"281",369124,48,1
"282",100078,114,1
"283",359757,114,1
"284",355702,157,1
"285",378798,110,1
"286",360237,157,1
"287",375565,114,1
"288",349441,157,1
"289",359335,157,1
"290",372758,1,1
"291",373336,184,1
"292",374056,184,1
"293",355410,110,1
"294",366166,18,1
"295",371454,48,1
"296",373334,157,1
"297",374144,90,1
"298",374143,157,1
"299",248275,101,1
"300",261535,110,1
"301",355098,157,1
"302",349797,90,1
"303",365318,157,1
"304",374956,109,1
"305",374903,109,1
"306",374904,109,1
"307",363244,157,1
"308",376028,48,1
"309",352422,110,1
"310",356296,101,1
"311",347811,90,1
"312",249078,101,1
"313",375623,89,1
"314",254919,110,1
"315",356721,157,1
"316",355062,110,1
"317",376373,89,1
"318",238369,109,1
"319",351100,110,1
"320",377252,157,1
"321",371657,110,1
"322",379737,90,1
"323",372313,181,1
"324",377655,181,1
"325",371017,184,1
"326",360326,184,1
"327",370564,18,1
"328",371562,18,1
"329",175993,184,1
"330",376369,184,1
"331",360239,184,1
"332",371769,1,1
"333",357608,184,1
"334",365307,184,1
"335",371056,181,1
"336",381573,181,1
"337",254344,109,1
"338",365289,101,1
"339",368202,110,1
"340",371423,114,1
"341",345003,109,1
"342",372240,3,1
"343",357557,90,1
"344",342648,90,1
"345",381198,109,1
"346",367025,109,1
"347",4877,109,1
"348",367915,109,1
"349",367973,109,1
"350",369191,89,1
"351",343225,109,1
"352",369284,109,1
"353",369741,109,1
"354",363456,89,1
"355",236196,109,1
"356",64052,89,1
"357",371568,89,1
"358",371564,90,1
"359",371563,90,1
"360",372905,109,1
"361",372845,109,1
"362",373264,109,1
"363",373794,109,1
"364",367097,89,1
"365",374458,109,1
"366",374738,109,1
"367",377327,109,1
"368",377090,89,1
"369",376372,109,1
"370",377254,109,1
"371",377587,109,1
"372",100205,114,1
"373",249314,6,1
"374",377374,1,1
"375",380114,181,1
"376",381577,181,1
"377",246335,90,1
"378",364344,69,1
"379",221772,90,1
"380",246182,90,1
"381",367909,90,1
"382",368005,48,1
"383",368005,100,1
"384",370095,100,1
"385",123646,101,1
"386",369288,90,1
"387",369194,90,1
"388",366111,90,1
"389",221553,90,1
"390",354803,110,1
"391",362517,90,1
"392",372145,109,1
"393",202669,90,1
"394",243647,90,1
"395",374513,90,1
"396",374064,90,1
"397",371653,90,1
"398",258537,90,1
"399",375554,90,1
"400",375553,90,1
"401",375399,90,1
"402",250611,90,1
"403",373874,110,1
"404",246181,90,1
"405",380504,90,1
"406",380032,90,1
"407",345400,90,1
"408",367016,90,1
"409",260543,90,1
"410",358421,110,1
"411",345831,90,1
"412",355591,90,1
"413",232626,69,1
"414",369736,90,1
"415",352595,90,1
"416",221551,90,1
"417",377240,90,1
"418",356460,90,1
"419",368199,90,1
"420",368200,90,1
"421",360084,90,1
"422",377249,90,1
"423",355062,90,1
"424",368481,90,1
"425",368480,90,1
"426",366165,110,1
"427",373269,90,1
"428",378065,90,1
"429",4737,69,1
"430",356661,157,1
"431",349796,157,1
"432",361814,157,1
"433",366582,157,1
"434",370653,157,1
"435",366886,100,1
"436",365311,157,1
"437",372073,48,1
"438",372047,48,1
"439",366166,89,1
"440",370963,97,77
"441",359363,184,1
"442",370153,100,1
"443",371244,100,1
"444",370572,109,1
"445",345719,109,1
"446",345827,109,1
"447",371266,110,1
"448",373944,109,1
"449",374145,89,1
"450",351449,157,1
"451",372904,110,1
"452",373277,90,1
"453",373335,110,1
"454",374148,109,1
"455",352897,90,1
"456",375621,109,1
"457",364356,157,1
"458",373272,90,1
"459",375615,110,1
"460",349440,157,1
"461",380553,157,1
"462",367739,184,1
"463",343499,109,1
"464",343489,109,1
"465",377089,89,1
"466",378771,48,1
"467",364719,157,1
"468",364028,69,1
"469",342653,109,1
"470",342651,109,1
"471",360330,157,1
"472",260910,114,1
"473",344550,109,1
"474",344560,109,1
"475",367019,110,1
"476",246175,109,1
"477",371575,109,1
"478",375622,109,1
"479",373161,157,1
"480",4749,90,1
"481",379677,109,1
"482",371682,48,1
"483",143118,101,1
"484",368116,101,1
