"","item_id","cId","sgId"
"102",371697,140,16
"103",240565,140,16
"104",373329,140,16
"105",373330,91,18
"106",373395,5,43
"107",344812,140,21
"108",242082,91,16
"109",36747,91,16
"110",239637,91,16
"111",72733,140,14
"112",240403,91,16
"113",373920,140,16
"114",72733,91,14
"115",246046,140,79
"116",343846,140,21
"117",372674,140,16
"118",234623,140,21
"119",240460,91,16
"120",373370,140,16
"121",250601,91,18
"122",342929,91,16
"123",239635,140,16
"124",33005,81,16
"125",239635,91,16
"126",240504,140,16
"127",376062,91,16
"128",243498,91,16
"129",243498,140,16
"130",372674,91,16
"131",15734,140,16
"132",376059,91,14
"133",243228,91,16
"134",375531,140,2
"135",376988,91,16
"136",244900,140,21
"137",239631,140,16
"138",377710,91,18
"139",378365,91,18
"140",378691,140,16
"141",241330,4,16
"142",240511,140,16
"143",375027,91,20
"144",248937,140,21
"145",248936,140,21
"146",70459,91,16
"147",188708,91,14
"148",380733,140,16
"149",247584,140,21
"150",363423,91,43
"151",379884,140,21
"152",33096,91,16
"153",379363,140,20
"154",379139,4,16
"155",248937,91,21
"156",380021,140,2
"157",243948,140,16
"158",244678,91,20
"159",380937,140,21
"160",248287,140,21
"161",381874,91,16
"162",250418,140,21
"163",381590,140,16
"164",381755,91,16
"165",240516,140,16
"166",240410,140,16
"167",253364,140,21
"168",382454,140,33
"169",381500,140,21
"170",253362,140,21
"171",381864,91,16
"172",382202,91,16
"173",175401,91,43
"174",256226,140,78
"175",245745,91,43
"176",36950,81,16
"177",356310,81,16
"178",367955,91,57
"179",244635,81,16
"180",356817,5,43
"181",363320,168,57
"182",253090,168,57
"183",257267,91,20
"184",244004,140,20
"185",367381,91,16
"186",367405,91,16
"187",369575,81,20
"188",249416,168,16
"189",369627,81,16
"190",249416,81,16
"191",369568,168,57
"192",369677,168,2
"193",354934,4,16
"194",368797,81,16
"195",359682,91,16
"196",368829,168,18
"197",370154,81,16
"198",369280,91,20
"199",240495,140,16
"200",360107,168,16
"201",369569,168,57
"202",360389,81,16
"203",370142,2,16
"204",370140,168,18
"205",370997,81,16
"206",371037,81,16
"207",372506,81,57
"208",372506,168,57
"209",371509,81,16
"210",371508,81,16
"211",371513,81,16
"212",371499,91,22
"213",371027,91,20
"214",360108,81,16
"215",373188,91,16
"216",247462,81,16
"217",372954,81,16
"218",372958,81,16
"219",373628,81,16
"220",373786,91,20
"221",368567,81,16
"222",240496,91,16
"223",362045,168,20
"224",374948,91,16
"225",374802,81,16
"226",375430,91,16
"227",359828,136,58
"228",244277,91,16
"229",378432,168,57
"230",378690,140,16
"231",377704,140,14
"232",378687,5,16
"233",378339,81,16
"234",380349,81,16
"235",379551,140,16
"236",380360,81,16
"237",379728,91,18
"238",379348,91,16
"239",379727,91,16
"240",345696,140,78
"241",380335,168,57
"242",243855,81,16
"243",380337,168,57
"244",180002,6,16
"245",61015,140,16
"246",368563,81,20
"247",380853,81,16
"248",373378,91,43
"249",380987,5,16
"250",38554,81,16
"251",380647,81,16
"252",247205,168,57
"253",380353,168,57
"254",212194,81,16
"255",380024,140,16
"256",383108,91,16
"257",244004,91,20
"258",383110,140,20
"259",382242,2,16
"260",256230,91,16
"261",10850,91,16
"262",238785,91,43
"263",246519,140,79
"264",184926,91,14
"265",367719,140,18
"266",366885,91,78
"267",243466,140,14
"268",16060,140,14
"269",366996,140,68
"270",240451,91,16
"271",370782,2,43
"272",369715,91,57
"273",240504,91,16
"274",371511,81,16
"275",370879,168,20
"276",359703,168,39
"277",372810,81,16
"278",372956,81,16
"279",256705,91,20
"280",372834,168,2
"281",243464,91,79
"282",372524,140,68
"283",240572,81,16
"284",373782,81,16
"285",373239,140,22
"286",43891,81,16
"287",375818,81,16
"288",244642,81,16
"289",375828,91,78
"290",16060,91,14
"291",375231,81,16
"292",239742,7,44
"293",241179,7,44
"294",243466,91,14
"295",242016,81,16
"296",241199,7,44
"297",380645,81,33
"298",379665,91,18
