"","item_id","pId","cId","sgId"
"12648",51904640,260605,125,88
"12649",52604655,6556,70,35
"12650",52604657,201648,70,35
"12651",52905168,7758,70,35
"12652",52604658,201648,70,35
"12653",52604660,7758,70,35
"12654",52905170,171428,70,49
"12655",52605065,201648,125,35
"12656",52942727,7758,70,35
"12657",52942728,356157,70,35
"12658",52604736,260605,70,88
"12659",52604737,260605,70,88
"12660",52942740,7758,70,35
"12661",52604734,6556,125,35
"12662",52604982,201648,70,35
"12663",52604984,234516,70,35
"12664",52604985,234516,70,35
"12665",52956372,7758,70,35
"12666",52956373,7758,70,35
"12667",52956374,7758,70,35
"12668",52956375,360391,70,35
"12669",52604987,260605,70,88
"12670",52604988,260605,70,88
"12671",52604989,201648,70,35
"12672",52956377,356157,70,35
"12673",52604990,201648,70,35
"12674",52604808,6556,70,35
"12675",52604814,201648,70,35
"12676",52604815,201648,70,35
"12677",52604817,234516,70,35
"12678",52604818,234516,70,35
"12679",52942772,7758,70,35
"12680",52942775,360391,70,35
"12681",52604820,260605,70,88
"12682",52604821,260605,70,88
"12683",52942777,356157,70,35
"12684",52942778,7758,70,35
"12685",52945415,14802,150,35
"12686",53030775,159966,2,35
"12687",52454629,134673,166,35
"12688",52605487,201648,70,35
"12689",52605488,201648,70,35
"12690",53050472,7758,70,35
"12691",52605493,260605,70,88
"12692",52605494,260605,70,88
"12693",52605495,201648,70,35
"12694",52606320,201648,70,35
"12695",52606321,201648,70,35
"12696",52606323,374549,70,35
"12697",52606324,7300,70,88
"12698",53255583,360391,70,35
"12699",53255611,7758,70,35
"12700",53255613,7758,70,35
"12701",53255615,7758,70,35
"12702",52606325,6556,70,35
"12703",52606320,201648,125,35
"12704",52605980,201648,70,35
"12705",52605981,201648,70,35
"12706",53444287,370428,70,88
"12707",53444288,370428,70,88
"12708",53757363,192066,133,35
"12709",53142741,5899,5,35
"12710",52454806,355692,166,35
"12711",53449012,146729,166,35
"12712",53448964,146729,166,35
"12713",53449066,146729,166,35
"12714",53448871,4655,166,35
"12715",53449365,146729,166,35
"12716",53920952,146729,5,35
"12717",53920955,146729,5,35
"12718",53449704,146729,166,35
"12719",52129256,219083,11,35
"12720",52129239,219083,11,35
"12721",52129240,4711,11,35
"12722",52129244,372058,11,35
"12723",53448673,146729,166,35
"12724",53448625,146729,166,35
"12725",53448721,146729,166,35
"12726",53448577,146729,166,35
"12727",53449410,191086,166,35
"12728",53449413,146729,166,35
"12729",53449795,191086,166,35
"12730",53449798,146729,166,35
"12731",51189918,358008,11,35
"12732",51192281,254709,94,35
"12733",51426594,364815,160,35
"12734",51426596,4704,160,35
"12735",51061988,356033,166,35
"12736",51409082,258837,11,35
"12737",51409000,355134,141,85
"12738",51409001,364384,141,85
"12739",51397773,5899,160,35
"12740",51397776,349875,160,85
"12741",51428538,364384,141,85
"12742",51526557,364384,141,85
"12743",51541381,349875,160,85
"12744",51473995,257950,11,35
"12745",51502215,257950,11,35
"12746",51176430,257950,11,35
"12747",51176345,4704,141,35
"12748",51578077,4720,160,35
"12749",51578078,4704,160,35
"12750",51578079,349875,160,85
"12751",51578080,364815,160,35
"12752",51578081,357007,160,35
"12753",51661690,4704,11,35
"12754",51600708,345644,11,35
"12755",51600709,257950,11,35
"12756",51517369,166061,94,35
"12757",51600350,4704,141,35
"12758",51600353,364384,141,85
"12759",51661751,4704,11,35
"12760",51661766,206563,11,35
"12761",51817288,364384,141,85
"12762",51817289,364384,141,85
"12763",51817291,4704,141,35
"12764",51817299,364384,141,85
"12765",51853904,111518,160,35
"12766",51062864,221367,166,35
"12767",51062866,250570,166,35
"12768",51818501,257950,11,35
"12769",51818503,257950,11,35
"12770",51818504,257950,11,35
"12771",51817784,4704,141,35
"12772",52097578,345644,11,35
"12773",52097642,61910,11,35
"12774",52097407,364384,141,85
"12775",52129394,373558,141,35
"12776",52190546,219083,11,35
"12777",52190547,219083,11,35
"12778",52124217,4704,160,35
"12779",52124219,5899,160,35
"12780",52193936,219083,11,35
"12781",52193937,219083,11,35
"12782",51923700,355693,166,35
"12783",51923813,191086,166,35
"12784",52338685,4704,160,35
"12785",52308774,257950,11,35
"12786",52308775,257950,11,35
"12787",52443621,364384,141,85
"12788",52235380,345644,11,35
"12789",52235165,373558,141,35
"12790",52443995,257950,11,35
"12791",52443996,257950,11,35
"12792",52443745,373558,141,35
"12793",52450637,4704,160,35
"12794",52537469,219083,11,35
"12795",52535678,373558,141,35
"12796",52535679,355134,141,85
"12797",52567020,5899,160,35
"12798",51924799,258853,166,35
"12799",52687688,4704,11,35
"12800",52821021,4704,11,35
"12801",52900564,373558,141,35
"12802",52715315,364384,141,85
"12803",52970349,5899,160,35
"12804",52970350,5899,160,35
"12805",52997780,206563,11,35
"12806",52997776,4711,11,35
"12807",52997151,4704,141,35
"12808",52997147,116495,141,35
"12809",52997148,344805,141,85
"12810",52983816,5899,160,35
"12811",52983817,5899,160,35
"12812",52983821,5899,160,35
"12813",52983822,349875,160,85
"12814",52941129,219083,11,35
"12815",52997213,4704,141,35
"12816",52997214,4704,141,35
